,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00-01:00,Veris,2.32,2.56,6.391,2.572,2.378,2.932,4.279,2.309,1.781,1.721,1.431,1.382,1.485,1.429,1.54,1.308,1.281,1.212,1.041,1.08,1.082,0.999,0.883,0.849,1.494,1.414,2.179,1.211,1.521,1.194,0.0,
00:00-01:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01:00-02:00,Veris,2.262,2.382,6.392,2.503,2.373,2.916,4.025,2.365,1.959,1.726,1.538,1.422,1.472,1.285,1.534,1.255,1.306,1.133,1.041,1.16,1.078,0.981,0.834,0.835,1.491,1.496,2.017,1.226,1.469,1.157,0.0,
01:00-02:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
02:00-03:00,Veris,2.182,2.226,6.39,2.454,2.355,2.913,3.772,2.349,1.919,1.761,1.546,1.435,1.409,1.284,1.502,1.203,1.343,1.114,1.038,1.153,1.079,0.924,0.834,0.835,1.486,1.536,1.84,1.301,1.335,1.168,0.0,
02:00-03:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
03:00-04:00,Veris,2.18,2.289,6.387,2.37,2.271,2.667,3.645,2.348,1.913,1.816,1.551,1.434,1.464,1.283,1.313,1.204,1.322,1.174,1.039,1.126,1.079,0.911,0.836,0.836,1.441,1.529,1.703,1.214,1.441,1.154,0.0,
03:00-04:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
04:00-05:00,Veris,1.983,2.243,6.387,2.37,1.99,1.845,3.563,2.345,1.899,1.716,1.602,1.431,1.419,1.282,1.23,1.203,1.374,1.214,1.045,1.11,1.074,0.896,0.837,1.056,0.918,1.513,1.721,1.216,1.357,1.15,0.0,
04:00-05:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
05:00-06:00,Veris,2.058,2.093,5.388,2.308,1.988,2.592,3.453,2.264,1.858,1.693,1.574,1.36,1.415,1.264,1.219,1.204,1.453,1.157,1.043,1.078,1.031,0.902,0.837,0.984,1.186,1.327,1.707,1.216,1.223,1.106,0.0,
05:00-06:00,Cekis,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
06:00-07:00,Veris,2.061,2.042,4.883,2.183,1.886,2.584,3.118,2.106,1.84,1.69,1.558,1.285,1.418,1.234,1.219,1.184,1.507,1.015,1.029,1.212,1.005,0.903,0.8,0.989,1.235,1.125,1.661,1.216,1.233,1.106,0.0,
06:00-07:00,Cekis,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
07:00-08:00,Veris,1.946,1.998,4.749,1.765,1.881,2.575,3.198,2.092,1.837,1.648,1.459,1.287,1.417,1.221,1.219,1.124,1.468,1.014,1.007,1.0,0.999,0.908,0.756,0.886,1.235,0.816,1.466,1.125,1.224,1.021,0.0,
07:00-08:00,Cekis,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,
08:00-09:00,Veris,1.923,1.95,4.529,2.153,1.843,2.312,3.062,2.132,1.95,1.633,1.466,1.282,1.373,1.206,1.217,1.104,1.294,1.019,1.007,0.99,1.006,0.81,0.745,0.882,1.185,1.164,1.403,1.119,1.211,1.034,0.0,
08:00-09:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
09:00-10:00,Veris,1.965,1.92,4.223,2.13,1.978,2.299,3.014,2.117,1.957,1.637,1.46,1.285,1.322,1.223,1.212,1.101,1.32,1.017,1.006,1.032,1.006,0.809,0.692,0.824,1.188,1.151,1.403,1.088,1.185,1.032,0.0,
09:00-10:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10:00-11:00,Veris,1.956,1.819,4.063,2.11,1.941,2.31,2.882,2.116,1.848,1.624,1.425,1.285,1.338,1.213,1.209,1.1,1.325,1.015,0.985,1.029,1.003,0.903,0.698,0.925,1.187,1.131,1.352,1.013,1.189,1.032,0.0,
10:00-11:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:00-12:00,Veris,1.997,2.181,3.852,2.091,2.064,2.772,2.848,1.956,1.845,1.628,1.459,1.284,1.315,1.209,1.21,1.085,1.481,0.995,0.99,1.013,0.937,0.904,0.71,1.049,1.214,1.103,1.358,1.013,1.23,1.003,0.0,
11:00-12:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:00-13:00,Veris,2.235,2.927,3.692,2.122,2.235,3.753,2.77,2.065,1.819,1.568,1.413,1.283,1.314,1.198,1.209,1.015,1.784,0.988,0.992,1.015,0.918,0.808,0.732,1.155,1.226,1.104,1.065,1.098,1.228,1.003,0.0,
12:00-13:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,
13:00-14:00,Veris,2.271,3.185,3.629,2.193,2.568,4.219,2.707,2.067,1.745,1.593,1.406,1.352,1.314,1.219,1.224,1.02,1.936,0.984,0.995,1.034,0.917,0.808,0.75,1.25,1.226,1.063,1.551,1.135,1.242,1.002,0.0,
13:00-14:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:00-15:00,Veris,2.513,3.274,3.51,2.288,3.719,5.505,2.654,1.524,1.839,1.611,1.47,1.341,1.337,1.274,1.275,1.166,1.806,1.068,1.083,1.046,1.01,0.808,0.813,1.352,1.302,1.141,1.492,1.288,1.354,1.002,0.0,
14:00-15:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:00-16:00,Veris,2.663,3.337,3.223,2.391,5.075,6.096,2.725,2.106,2.005,1.642,1.467,1.551,1.341,1.344,1.318,1.169,1.733,1.032,1.082,1.138,1.018,0.808,0.874,1.615,1.392,1.443,1.548,1.481,1.404,0.834,0.0,
15:00-16:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:00-17:00,Veris,2.706,3.604,3.016,2.499,5.071,6.279,2.685,2.131,2.077,1.603,1.405,1.673,1.352,1.411,1.067,1.249,1.59,1.032,1.197,1.199,1.019,0.806,1.092,1.982,1.657,1.728,1.609,1.54,1.319,1.025,0.0,
16:00-17:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00-18:00,Veris,2.784,3.859,3.229,2.443,4.67,6.447,2.714,2.13,2.033,1.639,1.488,1.644,1.363,1.475,1.406,1.259,1.586,1.031,1.266,1.115,1.034,0.915,0.944,1.98,1.763,2.342,1.646,1.645,1.194,1.096,0.0,
17:00-18:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
18:00-19:00,Veris,2.694,3.865,2.967,2.499,4.17,7.206,2.702,2.21,1.58,1.68,1.487,1.615,1.366,1.494,1.351,1.302,1.423,1.032,1.235,1.116,1.109,0.931,1.3,2.249,1.866,3.051,1.598,1.64,1.104,1.074,0.0,
18:00-19:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
19:00-20:00,Veris,2.644,4.043,2.812,2.541,4.046,6.981,2.669,2.135,1.986,1.679,1.485,1.583,1.349,1.514,1.388,1.319,1.373,1.049,1.287,1.17,1.043,0.93,1.313,2.322,1.881,3.091,1.541,1.726,1.302,1.011,0.0,
19:00-20:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00-21:00,Veris,2.659,6.258,2.83,2.885,3.82,6.322,2.581,2.107,1.912,1.66,1.459,1.57,1.362,1.512,1.39,1.291,1.313,1.043,1.289,1.144,1.079,0.966,1.288,2.44,1.88,2.972,1.491,1.905,1.301,1.081,0.0,
20:00-21:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00-22:00,Veris,2.627,6.388,2.785,2.735,3.515,5.499,2.658,2.087,1.921,1.62,1.459,1.461,1.353,1.461,1.279,1.281,1.246,1.044,1.208,1.157,1.078,0.966,1.182,2.341,1.827,2.867,1.489,1.96,1.306,1.003,0.0,
21:00-22:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00-23:00,Veris,2.706,6.392,2.702,2.586,3.463,5.046,2.513,2.1,1.917,1.655,1.458,1.48,1.341,1.487,1.346,1.253,1.127,1.054,1.305,1.158,1.079,0.929,1.183,1.922,1.666,2.631,1.44,1.762,1.208,1.0,0.0,
22:00-23:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00-24:00,Veris,2.709,6.391,2.575,2.392,3.178,4.542,2.309,2.091,1.913,1.66,1.457,1.48,1.312,1.452,1.318,1.241,1.113,1.068,1.286,1.158,1.077,0.929,1.179,1.76,1.635,2.418,1.42,1.606,1.216,0.956,0.0,
23:00-24:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
